Sample,Safety perception (y),Gender,Maritial status,Age,Educational level,Monthly house hold income,Vehicle ownership,Purpose of using the crossing,How much time do you typically wait at the zebra crossing,Are you aware of zebra crossing signs,Did you ever crossed road without using a zebra crossing,Should pedestrians attend road safety educational programmes,Have you done any road safety educational programme?,Safety at the crossing Prefrence,Pedestrian carelessness.,Driver inattentiveness,Pedestrian unawareness,Aggressive driver behaviour,Faded road signs.,Peak hour increases pedestrian accidents.,Fast moving vehicle increases pedestrian accidents.,Driver should always allow pedestrians to enter the intersection.,Strict application of law on vehicles makes you safe at zebra crossing.,Rumble strips and cat eyes before zebra crossing,Presence of a mid block,three dimesional,Refuge Island at a median,Curb Extension with raised zebra crossing,Non  skid footpath tiles,Sign board at 20 to 100 meters
208,2,0,1,3,2,3,0,2,5,5,5,4,1,1,1,1,1,1,1,4,1,5,5,3,4,4,3,2,3,5
209,2,1,0,3,2,3,0,2,5,4,5,3,1,1,2,1,1,1,1,1,1,5,5,4,5,5,5,5,5,4
210,2,0,0,2,2,2,0,1,5,4,3,4,1,1,2,2,2,1,1,3,3,3,3,4,4,4,4,5,5,5
211,1,0,0,2,2,2,1,2,5,4,4,5,1,3,1,1,1,1,1,2,2,5,5,5,5,5,5,5,5,5
212,2,0,0,2,2,2,0,1,4,4,2,4,1,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,5
213,4,0,0,2,2,2,0,3,4,4,3,4,1,1,5,1,1,1,1,1,2,5,5,5,5,5,5,4,4,5
214,1,0,0,2,4,3,0,4,5,3,4,4,1,2,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5
215,1,0,0,2,3,3,0,4,4,5,4,5,1,4,1,4,1,1,1,4,4,3,5,5,5,5,5,5,5,5
216,2,0,1,3,2,2,0,3,5,5,4,4,1,1,5,1,1,1,1,4,1,5,5,5,5,1,5,4,5,5
217,4,0,0,2,2,3,1,5,4,5,4,4,1,3,3,2,1,2,1,2,1,5,5,5,5,5,5,5,5,5
218,1,0,1,4,2,2,0,3,4,5,5,4,1,4,1,1,1,3,1,1,5,5,5,5,5,3,4,5,2,5
219,1,0,1,4,2,3,0,1,5,4,5,5,1,1,1,2,1,2,1,1,1,5,5,5,5,4,5,5,4,5
220,2,0,1,2,2,3,0,1,5,3,2,4,1,4,3,3,2,1,1,1,1,5,4,5,5,5,5,5,5,5
221,2,0,1,3,2,3,2,3,2,4,3,4,1,1,5,1,1,1,1,1,1,3,5,5,5,3,4,5,5,5
222,2,0,1,3,3,3,1,2,3,5,5,3,1,3,4,1,1,1,1,1,4,5,5,5,1,5,5,5,5,5
223,1,1,1,3,1,2,0,4,1,4,2,5,1,1,3,1,4,5,2,2,3,5,3,1,5,5,3,5,4,5
224,3,0,1,3,2,2,0,3,3,5,2,2,1,2,5,1,1,2,1,1,2,5,5,5,5,2,5,5,5,4
225,1,1,0,2,3,2,0,3,4,4,5,4,1,3,4,1,1,1,1,1,4,5,5,5,4,2,5,5,5,5
226,2,0,1,2,3,2,0,4,3,3,1,3,1,1,5,2,2,3,2,5,3,3,4,3,1,3,4,5,5,5
227,3,1,1,3,2,2,1,2,4,3,4,4,1,1,5,1,1,1,1,1,1,5,5,1,3,5,5,5,3,5
228,2,0,1,3,1,2,0,4,2,3,4,2,1,1,5,1,1,1,1,3,3,5,5,2,5,5,5,5,5,5
229,1,0,1,2,1,2,0,3,2,4,4,4,1,2,5,2,2,3,1,5,1,5,5,1,5,5,5,5,5,5
230,3,0,0,2,2,2,1,3,3,5,4,4,1,1,5,3,2,1,1,5,2,5,5,1,5,5,5,4,5,4
231,2,0,1,3,2,2,1,5,3,4,1,5,1,1,2,3,2,1,1,3,3,2,2,3,4,4,4,5,5,5
232,1,1,1,2,5,3,0,3,3,4,5,4,1,1,4,1,1,1,1,1,1,5,5,2,2,1,5,5,5,5
233,2,0,0,2,1,2,0,4,4,4,2,2,1,1,5,1,1,1,1,2,4,5,5,1,5,5,5,5,5,5
234,2,0,0,2,2,2,2,3,4,4,1,3,1,1,1,2,1,1,1,1,1,5,5,5,5,5,3,5,3,5
235,2,1,1,3,1,2,0,3,3,5,1,3,1,1,5,3,2,2,3,5,3,5,5,5,5,5,4,4,5,4
236,3,0,1,3,2,2,0,3,3,5,2,4,1,2,4,1,2,1,1,4,1,5,4,4,5,4,4,2,5,5
237,1,1,1,3,2,2,0,4,3,4,5,4,1,2,5,3,1,3,1,3,5,4,2,3,1,4,2,5,4,5
238,3,0,0,2,3,3,0,4,2,5,2,4,1,1,2,1,2,3,1,5,1,5,5,2,5,5,3,5,5,4
239,1,0,0,1,2,2,0,4,2,4,2,3,1,1,5,1,3,1,2,3,2,5,3,2,5,5,5,5,3,4
240,2,1,1,2,3,2,0,4,2,5,4,4,0,2,4,2,3,2,4,4,1,4,4,5,5,5,5,5,5,5
241,2,1,0,2,3,1,0,3,3,4,1,4,1,1,4,3,4,3,4,3,4,3,2,3,2,3,2,3,2,3
242,2,0,1,3,3,2,0,4,4,4,1,3,1,2,1,2,4,1,1,1,5,5,5,5,5,4,3,5,2,5
243,5,0,1,3,2,2,0,4,3,3,1,4,1,1,1,1,1,1,1,4,1,2,5,1,5,4,5,3,4,5
244,5,0,1,2,3,2,2,4,3,4,1,3,1,1,5,1,1,1,1,1,1,5,5,5,1,5,5,5,5,5
245,3,0,1,3,2,2,0,3,2,4,1,4,1,1,5,2,3,2,1,3,3,4,5,5,5,5,5,5,5,5
246,4,0,0,2,2,2,0,4,4,4,3,4,1,1,3,3,3,3,3,2,1,5,5,4,4,4,1,1,5,5
247,4,1,1,2,2,2,0,4,2,4,3,1,1,3,2,4,1,1,1,5,3,4,5,1,3,5,5,4,5,5
248,4,0,1,3,2,2,0,4,3,3,1,1,1,1,5,2,1,1,1,1,1,4,5,2,2,5,5,3,5,4
249,3,0,1,3,3,2,2,4,3,3,1,3,1,1,5,3,1,1,1,3,2,5,5,2,3,5,5,5,5,5
250,2,0,1,3,3,2,0,2,2,3,2,3,1,1,5,1,1,1,1,5,1,5,5,5,5,5,5,5,5,5
251,4,3,1,3,5,3,1,4,2,5,3,4,1,4,2,3,2,3,1,1,2,3,5,5,4,5,4,5,4,3
252,3,0,0,2,4,3,0,2,3,5,3,4,1,4,2,3,2,3,2,3,2,3,5,3,4,3,5,3,5,4
253,3,0,1,2,3,2,0,4,3,5,3,4,1,2,2,3,2,3,2,2,3,4,3,3,4,5,3,5,4,4
254,3,1,1,3,1,3,2,4,2,3,3,4,1,2,2,2,3,2,2,2,3,4,4,4,3,4,5,3,4,5
255,2,1,1,2,3,2,0,3,3,4,3,4,1,4,3,2,3,2,2,3,2,3,4,3,4,3,4,3,4,4
256,1,0,1,2,2,2,0,4,3,5,3,4,1,3,2,1,3,2,1,3,2,4,5,3,4,5,3,4,5,4
257,3,1,1,2,2,1,0,3,4,5,3,4,1,1,2,1,2,1,1,2,1,4,5,4,5,4,5,4,5,4
258,4,0,1,2,1,1,0,3,2,3,4,4,1,4,3,2,2,1,1,3,2,3,4,3,4,3,4,3,4,4
259,1,0,1,3,1,1,0,3,4,4,2,5,0,4,2,3,2,3,2,3,4,3,4,2,4,2,4,2,4,3
260,3,0,1,3,3,1,0,5,4,4,4,4,1,4,2,3,1,3,2,5,2,1,4,1,4,1,4,2,4,3
261,3,0,0,2,1,2,2,4,2,4,4,4,1,1,5,3,4,3,4,4,2,2,4,2,3,2,4,2,4,3
262,2,0,1,2,2,2,1,3,3,4,2,4,1,2,5,3,4,3,4,5,3,2,3,2,3,2,4,2,4,3
263,3,1,1,4,5,4,2,4,3,4,3,2,0,3,3,3,4,2,3,2,3,4,3,4,4,3,3,4,3,4
264,2,0,1,3,4,1,1,3,3,5,2,4,1,3,5,3,4,2,4,3,4,4,2,4,2,3,2,4,3,2
265,2,0,1,4,3,1,1,4,1,3,3,3,1,1,5,3,5,3,3,3,4,4,2,4,3,2,4,2,4,3
266,3,0,1,4,2,4,2,5,4,5,2,2,0,3,5,2,4,2,3,2,4,4,3,3,2,3,3,2,4,3
267,1,0,1,3,5,2,1,3,4,5,2,4,1,2,5,3,5,2,4,4,2,2,4,1,4,1,3,1,3,4
268,1,0,1,3,3,2,0,1,4,4,2,2,0,4,4,2,4,2,4,2,4,4,2,1,4,2,4,2,4,2
269,2,0,1,2,2,1,1,3,4,5,2,3,0,1,5,3,5,3,4,5,3,1,3,1,3,1,3,1,4,2
270,3,0,1,3,3,3,0,5,1,2,3,4,1,2,5,3,5,3,2,5,3,2,4,1,3,1,4,2,4,3
271,3,1,1,4,1,1,0,1,2,4,2,4,1,4,5,3,4,3,3,2,4,4,3,4,2,4,3,2,4,3
272,1,0,1,3,1,1,1,4,4,5,3,4,1,2,2,2,3,3,3,3,3,4,4,4,3,4,4,3,2,3
273,3,1,1,2,2,3,2,4,2,4,3,4,1,3,5,3,5,3,3,4,3,3,4,2,5,5,4,4,3,4
274,1,0,0,2,4,1,1,3,5,4,3,4,1,3,5,3,4,2,3,5,3,2,4,1,4,2,3,2,3,4
275,2,1,1,2,1,1,0,1,3,3,3,3,1,4,5,3,4,2,3,3,2,3,4,3,4,2,4,3,4,3
276,2,1,1,2,1,3,0,3,4,5,2,3,0,1,4,3,4,2,3,4,2,2,4,2,4,2,4,3,3,4
277,2,1,1,3,4,4,2,4,4,3,4,4,1,1,4,3,4,3,3,4,3,2,3,3,2,3,2,3,2,3
278,3,1,1,3,4,3,0,4,2,4,1,3,1,1,5,3,4,3,4,3,4,4,2,4,2,4,3,4,2,4
279,2,0,1,2,4,2,0,3,3,4,3,4,1,1,3,3,4,4,3,3,4,3,3,3,3,4,4,4,3,4
280,1,0,1,4,1,1,0,4,5,5,2,4,1,2,5,3,4,2,3,5,3,4,3,3,2,4,2,4,3,3
281,4,1,1,3,5,1,0,4,2,2,3,4,1,3,5,3,4,2,3,3,4,4,3,3,2,4,2,4,3,4
282,2,0,1,2,1,3,0,5,4,5,3,4,1,4,4,3,4,2,3,3,1,1,4,2,4,2,4,2,4,3
283,3,1,1,3,4,2,0,3,5,3,3,3,0,4,4,3,4,2,4,3,2,2,4,2,4,4,2,4,3,2
284,2,1,0,2,3,2,2,3,4,5,2,4,0,2,5,3,5,3,3,5,2,2,4,2,4,2,4,2,3,3
285,1,0,0,2,1,1,1,3,3,5,2,1,0,2,5,3,4,2,3,5,3,2,4,2,4,2,4,3,2,4
286,2,1,1,2,4,3,2,1,4,5,2,2,0,1,5,3,4,2,3,4,2,3,4,2,4,4,4,3,1,4
287,2,0,1,2,3,1,1,3,4,3,4,4,1,1,5,3,4,2,4,4,2,2,4,2,4,4,2,3,4,3
288,3,0,1,2,3,3,1,5,2,3,1,4,1,3,5,2,4,2,3,3,5,4,2,4,4,2,2,3,3,3
289,3,1,1,2,5,2,2,4,2,3,3,4,1,3,5,3,4,3,4,3,4,3,2,3,2,4,2,4,2,3
290,2,1,1,3,2,4,1,3,3,5,2,3,0,2,5,3,5,3,4,4,2,2,2,3,2,3,3,2,3,2
291,1,1,1,2,4,1,0,4,3,4,1,4,1,2,5,4,4,3,4,3,4,3,2,3,2,4,2,4,3,4
292,2,0,1,4,2,1,1,3,4,5,2,4,1,3,5,3,4,3,4,4,3,2,3,2,4,2,3,2,3,3
293,2,0,1,3,2,1,0,3,2,3,4,2,1,4,5,3,4,2,3,4,2,2,4,2,4,2,3,2,4,3
294,3,1,1,2,3,1,0,4,2,3,3,4,1,2,5,3,4,3,4,4,5,3,2,3,2,4,2,4,3,3
295,3,1,1,3,2,3,1,5,2,3,3,4,1,3,5,5,3,4,2,3,3,3,2,4,3,2,4,3,4,4
296,3,0,1,2,3,2,2,1,4,5,3,4,1,3,4,3,3,4,3,2,3,4,3,4,3,4,3,4,2,3
297,3,1,1,3,3,3,1,3,2,5,2,4,1,2,3,4,2,3,2,4,2,3,3,3,3,3,3,2,4,3
298,3,1,1,2,2,1,0,3,2,4,4,4,1,4,3,4,2,3,2,3,2,2,4,3,4,2,4,3,4,3
299,3,0,1,3,2,3,0,1,2,5,4,3,0,3,5,2,3,2,3,3,2,2,4,3,4,2,4,3,4,3
300,1,0,1,3,4,2,2,4,3,5,2,4,1,1,5,3,3,3,3,2,4,4,3,2,4,2,4,3,4,3
301,3,0,1,2,2,2,0,4,2,3,3,2,1,1,2,1,2,1,2,1,2,5,4,5,4,5,4,5,4,5
302,2,0,1,1,1,2,0,3,1,4,2,2,1,1,3,2,3,2,1,3,2,5,4,4,5,4,5,4,5,4
303,3,0,1,4,4,3,0,4,3,3,3,2,1,2,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
304,3,0,1,2,2,2,0,4,2,3,2,2,1,1,2,3,1,2,1,2,1,4,5,4,5,4,5,4,5,4
305,3,0,1,2,2,2,0,4,2,3,3,2,1,1,2,3,3,2,3,2,3,4,3,3,4,3,4,3,4,3
306,3,0,0,2,2,3,0,2,2,4,3,2,1,1,3,2,1,3,2,3,2,5,3,4,5,4,5,4,5,4
307,3,0,1,2,3,2,2,3,2,4,3,2,1,1,3,2,3,2,1,2,1,4,5,5,4,5,4,5,4,5
308,3,0,1,4,2,2,1,4,2,4,3,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
309,3,0,1,2,2,2,2,4,2,4,3,2,1,1,2,3,3,2,1,3,2,5,3,3,4,4,5,4,5,4
310,3,0,0,2,2,2,1,4,2,3,3,2,1,2,2,1,2,1,2,2,1,5,5,4,5,4,5,4,5,4
311,3,0,0,2,2,3,1,4,2,4,3,5,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
312,2,0,1,2,2,3,2,4,2,4,3,3,1,1,2,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
313,3,0,1,2,2,3,1,4,2,3,2,3,1,1,3,2,1,3,2,3,2,5,4,3,4,5,4,5,4,5
314,2,0,1,2,2,3,0,3,2,3,2,2,1,1,4,3,2,3,2,3,2,5,3,3,4,5,5,5,5,5
315,3,0,1,2,3,3,1,4,2,4,2,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
316,3,0,0,2,2,2,0,4,2,4,2,2,1,2,3,2,1,3,2,3,2,5,4,3,4,5,4,5,4,5
317,3,0,1,2,1,2,0,4,2,4,2,3,1,1,3,2,1,2,1,2,1,4,5,4,5,4,5,4,5,5
318,3,0,1,2,2,3,1,4,3,5,2,2,1,1,2,3,2,3,3,2,3,4,3,3,4,3,4,5,3,5
319,3,0,1,2,2,2,2,4,2,3,2,2,1,1,3,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
320,2,0,1,2,2,2,1,4,2,4,2,2,1,1,4,3,2,2,1,3,2,5,4,3,4,5,4,5,4,5
321,3,0,1,3,2,3,0,4,3,3,2,2,1,2,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
322,2,0,1,2,2,2,0,4,2,4,2,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
323,3,0,1,2,2,2,2,4,2,3,2,2,0,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
324,2,0,1,2,1,3,0,4,2,3,2,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
325,4,0,1,2,2,1,0,4,3,3,2,2,1,1,2,1,2,1,2,3,3,4,5,3,4,3,4,3,5,4
326,4,1,1,2,1,2,0,4,3,5,2,4,1,1,1,2,1,2,1,2,2,4,5,4,5,4,5,4,5,4
327,2,0,1,3,1,2,0,4,2,2,2,2,0,1,2,2,1,1,2,2,1,3,4,4,5,3,4,5,4,5
328,2,0,1,2,2,2,0,4,2,3,2,2,1,1,3,2,1,2,1,2,1,4,5,4,5,4,5,4,5,5
329,3,1,1,1,2,2,0,3,2,3,3,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
330,3,0,1,2,1,2,2,4,2,3,3,2,1,1,2,1,2,1,2,2,1,5,5,5,5,5,5,4,5,5
331,3,0,1,1,4,2,1,4,2,3,2,2,1,1,2,1,2,1,2,2,1,4,5,5,4,5,4,5,4,5
332,3,0,1,2,1,2,2,4,2,3,2,1,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
333,2,0,1,2,2,2,1,4,3,3,2,3,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
334,3,0,1,2,2,2,1,4,2,4,2,3,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,5
335,3,0,1,2,2,2,2,4,2,4,2,2,1,1,3,2,1,3,2,3,2,5,4,4,5,4,5,4,5,4
336,3,0,1,2,2,2,1,4,2,4,2,2,1,1,3,2,3,2,1,3,2,5,4,3,4,5,4,4,5,4
337,3,1,1,2,2,2,0,4,1,3,2,3,1,1,3,3,2,1,3,3,2,3,4,4,3,4,5,3,4,5
338,2,0,1,2,2,3,1,4,2,3,2,2,1,2,2,1,2,1,2,2,1,4,5,5,5,4,5,4,5,4
339,3,0,1,2,1,3,0,4,4,4,2,2,1,4,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
340,2,0,1,2,1,2,0,4,2,3,3,1,1,4,2,1,2,1,2,1,3,4,5,5,4,5,4,5,4,5
341,3,0,1,2,2,1,1,4,3,3,3,2,1,1,3,2,3,2,1,3,2,5,4,4,5,4,5,4,5,4
342,3,0,1,2,1,2,2,4,3,4,3,1,1,2,2,1,2,1,2,2,1,4,5,4,5,5,5,5,5,5
343,2,1,1,2,2,2,1,3,5,3,3,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
344,3,0,1,2,1,2,0,4,2,4,3,2,1,1,2,2,1,2,1,2,1,4,5,4,5,4,5,4,5,5
345,3,0,1,2,2,2,0,4,2,3,3,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
346,3,0,1,2,2,1,2,4,2,3,3,2,1,1,3,2,1,2,1,3,2,5,4,4,5,4,5,4,5,4
347,3,0,1,2,2,2,0,4,2,4,3,2,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
348,2,0,1,2,1,2,0,4,2,3,3,2,1,1,2,3,2,3,3,3,2,5,4,3,4,5,4,5,4,5
349,3,0,1,2,2,2,0,4,2,3,3,2,1,2,2,1,2,1,2,2,1,4,5,4,5,5,4,5,4,5
350,3,0,1,2,1,3,0,4,2,4,3,3,1,1,3,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
351,1,0,1,2,1,1,0,4,1,3,2,1,1,1,2,1,2,1,2,1,2,5,4,4,5,4,5,4,5,4
352,1,0,1,2,1,2,0,4,2,3,1,1,1,1,5,4,5,3,3,3,4,3,1,2,3,2,1,2,3,3
353,1,0,1,2,1,1,2,4,2,2,2,2,1,1,4,4,3,3,4,4,3,2,3,2,3,2,2,3,1,3
354,1,0,1,2,1,2,1,4,2,3,1,2,1,1,5,4,5,5,5,4,5,1,2,1,2,1,1,1,1,2
355,1,0,1,2,1,1,2,4,1,2,3,2,1,1,5,4,3,3,3,3,2,3,2,3,2,3,2,4,4,2
356,2,0,1,2,2,2,1,2,1,3,1,3,1,1,1,1,2,3,1,1,5,3,5,2,2,5,5,3,4,5
357,4,0,0,1,2,1,1,4,1,3,4,1,1,1,1,1,1,1,3,2,2,3,4,4,5,3,5,2,1,1
358,1,0,1,2,4,3,2,4,1,3,1,2,1,1,5,5,4,5,5,4,5,1,1,2,2,1,1,2,1,1
359,1,0,1,2,1,2,1,4,2,3,2,1,1,1,5,4,5,4,5,4,5,1,2,1,2,1,2,1,1,1
360,1,0,1,2,1,1,0,5,1,3,1,2,1,1,5,4,5,4,5,4,5,2,1,2,2,1,1,1,1,2
361,3,0,1,2,3,2,1,4,1,3,1,2,1,1,5,5,4,5,4,5,5,2,1,1,1,2,1,1,1,1
362,1,0,1,2,1,2,0,4,2,2,3,2,1,1,3,5,4,5,5,5,4,2,4,2,3,2,2,3,2,2
363,1,0,1,2,3,2,0,4,1,3,1,2,1,1,4,4,5,5,5,4,5,2,1,1,2,1,1,1,2,1
364,1,0,0,1,3,2,1,4,2,2,1,3,1,1,5,4,5,4,5,4,5,2,1,2,1,2,2,2,1,1
365,1,0,1,2,1,2,2,4,2,3,1,2,1,1,4,3,5,4,5,4,5,2,1,2,1,2,2,3,2,1
366,1,1,1,2,2,2,1,4,1,3,1,3,1,1,3,1,4,2,3,4,3,3,1,2,3,1,3,4,3,3
367,2,0,1,2,1,2,0,5,1,2,2,2,1,1,4,3,3,3,2,2,3,2,4,2,3,2,4,2,3,2
368,1,0,0,1,2,1,0,1,2,2,1,2,1,1,5,5,4,5,5,4,5,1,2,1,1,2,1,2,1,1
369,1,0,1,2,1,2,2,4,1,3,1,2,1,1,5,4,5,4,5,4,5,1,1,2,2,1,1,1,2,1
370,1,0,1,2,1,2,0,4,1,3,1,1,1,1,4,4,5,5,4,4,5,1,2,2,1,2,1,1,1,2
371,1,0,1,2,1,2,0,4,2,2,2,2,1,1,4,4,5,5,4,5,5,2,1,2,2,1,1,1,2,1
372,1,0,1,2,1,1,0,4,2,2,1,1,1,1,5,4,5,4,5,4,5,2,1,2,1,2,1,1,1,5
373,2,0,1,2,2,2,0,5,1,2,2,1,1,1,5,4,5,4,5,5,4,1,1,2,1,1,2,1,2,1
374,1,0,1,2,1,2,0,4,1,2,2,1,1,1,3,4,5,5,4,5,4,1,2,1,2,1,2,1,2,1
375,1,0,1,2,1,2,0,4,1,2,2,2,1,1,4,4,5,5,5,4,4,1,1,2,2,1,1,1,2,2
376,2,0,1,2,1,2,2,5,1,2,2,1,1,1,5,4,5,5,5,4,5,1,2,1,2,1,2,1,2,1
377,1,0,0,1,1,1,1,4,1,3,1,2,1,1,5,4,5,4,5,4,5,2,1,2,1,1,2,1,1,1
378,1,0,1,2,2,2,2,4,2,3,2,2,1,1,5,4,5,4,5,4,5,2,1,3,2,4,4,2,1,2
379,1,0,0,1,1,1,1,4,2,2,2,2,1,1,5,4,5,5,5,4,5,2,1,1,2,1,2,1,1,1
380,1,0,1,2,1,1,1,4,1,3,1,2,1,1,5,5,5,5,5,4,5,2,1,2,2,1,1,1,2,1
381,1,0,1,2,1,2,2,4,1,3,2,1,1,1,5,4,5,4,5,4,4,1,2,2,1,3,4,4,2,5
382,2,1,1,2,3,2,1,4,1,3,1,2,1,1,5,4,3,5,5,4,5,2,1,2,2,1,2,1,2,1
383,1,0,1,2,2,2,0,4,1,3,1,2,1,1,5,5,5,5,5,4,4,2,2,1,2,1,2,1,2,1
384,4,0,1,2,3,3,1,4,1,3,2,2,1,1,5,5,4,5,5,5,4,1,2,1,5,5,5,4,5,5
385,1,0,1,2,1,2,0,4,1,3,1,1,1,1,5,4,5,4,5,4,5,1,2,1,2,1,2,1,2,1
386,1,0,1,2,1,1,0,4,1,3,1,2,1,1,5,4,5,4,5,4,5,2,1,2,1,2,1,1,2,1
387,2,1,1,2,1,1,1,2,1,2,2,1,1,1,5,4,2,3,4,5,4,1,3,1,2,3,1,3,1,4
388,2,0,1,3,1,2,2,4,1,5,5,2,0,1,5,4,1,1,1,1,5,1,1,2,3,1,1,2,1,1
389,1,1,1,2,1,2,1,4,1,3,1,2,1,1,5,4,5,4,5,4,5,2,3,3,2,1,2,1,2,4
390,2,0,1,4,1,2,0,5,1,3,1,1,1,1,5,5,4,5,5,4,4,5,5,5,5,1,1,2,1,1
391,2,0,0,1,3,1,0,2,1,3,1,2,1,1,5,5,4,5,5,5,4,1,1,2,1,1,1,2,1,1
392,1,0,1,2,2,2,2,4,1,3,1,2,1,1,5,5,4,5,3,5,5,2,1,1,2,1,2,1,1,2
393,1,0,0,2,2,1,0,5,1,2,2,2,1,1,5,4,5,5,5,5,4,1,1,2,1,2,1,1,2,1
394,1,0,0,1,2,1,0,5,1,3,1,2,1,1,3,3,4,5,5,5,5,2,1,1,1,2,1,1,1,1
395,2,0,1,2,1,1,0,5,1,2,3,4,1,1,5,4,5,3,3,4,4,1,3,2,1,1,2,1,4,4
396,3,0,1,3,4,3,0,4,1,2,1,4,1,1,1,1,2,3,1,4,4,3,2,1,1,2,1,4,5,4
397,1,0,1,2,4,4,0,4,1,3,1,3,1,1,5,4,5,3,3,5,4,1,2,2,1,2,1,2,1,2
398,1,0,1,2,1,1,0,4,1,3,1,1,1,1,5,1,1,4,5,5,4,1,3,1,2,1,3,2,4,1
399,1,0,1,2,2,1,2,4,1,4,1,2,1,1,5,4,5,5,4,5,4,1,2,1,1,2,1,2,1,2
400,2,0,1,2,1,2,1,4,1,3,1,1,1,1,4,3,3,3,4,5,4,2,3,2,2,1,2,2,1,1
401,3,0,1,3,3,3,2,4,2,4,2,5,1,1,2,1,2,1,2,2,2,4,4,5,4,4,5,5,4,4
402,3,0,0,1,2,2,1,3,2,3,3,4,1,1,2,1,2,1,2,1,2,5,4,5,4,5,4,5,4,4
403,3,0,1,2,3,2,1,3,2,3,2,3,1,1,2,1,2,1,2,1,2,5,4,5,4,5,4,5,4,4
404,2,0,1,2,3,2,2,3,2,4,2,5,1,1,2,1,2,2,1,2,2,5,5,4,4,5,4,5,4,5
405,3,0,1,2,4,2,1,3,2,3,2,4,1,1,2,1,2,1,2,1,2,4,5,4,5,4,5,4,5,4
406,2,0,1,1,2,2,0,3,3,4,2,4,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
407,3,0,1,2,3,2,1,2,2,3,3,4,1,2,2,1,2,1,2,1,2,5,4,4,5,4,5,4,5,4
408,3,0,1,2,3,2,0,4,2,4,2,4,1,1,2,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
409,3,0,1,2,4,3,0,2,3,4,2,3,1,1,2,1,2,1,2,2,1,4,4,4,5,4,5,4,5,4
410,3,1,1,2,4,4,1,2,4,5,2,5,1,2,2,3,1,2,2,2,2,4,4,4,5,4,5,4,5,4
411,3,0,1,2,3,3,2,2,4,5,3,5,1,1,2,1,2,1,2,1,2,5,4,5,4,5,4,5,4,4
412,3,0,1,2,3,2,1,4,3,4,2,5,1,4,2,1,2,1,2,2,1,4,4,5,4,5,4,5,4,4
413,4,0,1,2,3,2,0,3,3,3,3,5,1,4,2,2,3,2,2,2,1,4,4,4,5,4,5,4,4,4
414,2,0,1,2,3,2,0,3,2,3,3,4,1,1,2,1,2,1,2,1,2,5,4,5,4,5,5,5,4,4
415,2,1,0,2,3,3,2,3,3,4,2,5,1,2,2,1,2,2,2,1,2,4,3,5,4,5,4,5,4,4
416,2,0,1,2,3,2,0,3,3,4,2,5,1,2,2,2,1,2,2,1,1,5,4,5,4,5,4,5,4,4
417,3,0,1,2,3,2,0,4,2,3,2,5,1,1,2,2,1,2,1,2,1,4,5,4,5,4,5,4,5,4
418,2,0,1,2,3,3,0,3,3,4,2,4,1,4,2,2,1,2,2,1,2,5,4,5,4,5,4,5,4,4
419,4,0,1,2,3,2,0,4,2,5,3,3,1,1,2,1,2,1,2,1,2,5,4,5,4,5,4,5,4,4
420,3,0,1,2,3,2,0,4,2,4,2,5,1,1,2,1,2,1,2,2,1,4,5,4,5,4,5,4,5,4
421,3,0,1,2,4,4,0,2,3,4,2,4,1,2,2,1,2,1,2,1,2,4,4,5,5,5,4,4,4,4
422,2,0,1,2,1,1,2,4,2,3,3,3,1,1,2,2,1,1,2,1,1,4,5,4,5,5,5,5,4,4
423,2,0,1,2,2,2,1,3,2,4,2,4,1,1,2,2,1,2,1,2,2,4,5,4,4,4,4,4,4,4
424,3,0,1,2,4,3,2,3,2,4,2,4,1,4,2,2,1,2,2,2,2,4,4,4,4,4,5,4,5,4
425,2,0,1,2,3,2,1,3,2,4,2,4,1,1,2,3,2,1,2,2,1,4,4,5,4,4,4,4,5,5
426,3,0,1,2,3,2,1,4,3,4,2,4,1,1,2,2,2,2,2,2,2,5,4,4,5,4,5,4,4,4
